City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,chust,41.0094,71.2287,295.81,21,0,2.94,UZ,1692474258
165,tubarjal,30.4999,38.216,309.76,14,0,4.26,SA,1692473971
166,dourados,-22.2211,-54.8056,295.4,63,45,1.41,BR,1692474259
167,novokuznetsk,53.7557,87.1099,286.59,100,100,3.81,RU,1692474033
168,nguigmi,14.2495,13.1092,302.59,61,99,4.6,NE,1692474259
169,mabaruma,8.2,-59.7833,303.43,70,69,1.55,GY,1692474259
170,ribeira grande,38.5167,-28.7,297.47,69,20,3.6,PT,1692474259
171,dwarka,22.2394,68.9678,299.48,79,100,7.36,IN,1692474260
172,el nido,11.1858,119.3956,299.51,83,25,1.69,PH,1692474260
173,nuuk,64.1835,-51.7216,281.49,81,75,17.49,GL,1692474260
174,bhiwani,28.7833,76.1333,303.79,67,0,2.73,IN,1692474261
175,port lincoln,-34.7333,135.8667,286.86,81,99,3.36,AU,1692474261
176,happy valley-goose bay,53.3168,-60.3315,294.32,73,100,2.57,CA,1692474261
177,thompson,55.7435,-97.8558,289.24,63,75,4.12,CA,1692474261
178,argostolion,38.1811,20.489,300.19,55,0,6.69,GR,1692474262
179,arraial do cabo,-22.9661,-42.0278,299.13,69,0,4.12,BR,1692474262
180,fort st. john,56.2499,-120.8529,291.09,48,20,4.63,CA,1692474262
181,katsuura,35.1333,140.3,298.72,89,5,2.17,JP,1692474263
182,bureya,49.8133,129.8131,285.98,92,3,3.11,RU,1692474263
183,mangaldai,26.4333,92.0333,298.9,97,100,0.67,IN,1692474263
184,san pedro pochutla,15.7333,-96.4667,305.21,52,100,3.42,MX,1692474263
185,yuzhno-kurilsk,44.0306,145.8556,291.42,99,100,2.26,RU,1692474263
186,piacabucu,-10.4056,-36.4344,297.51,84,10,3.19,BR,1692474264
187,san luis de la loma,17.2706,-100.8939,305.04,61,53,3.91,MX,1692474264
188,brookings,44.3114,-96.7984,306.54,66,0,2.06,US,1692474264
189,zangilan,39.0883,46.6512,296.58,53,10,0.92,AZ,1692474265
190,timbuktu,16.7735,-3.0074,310.53,28,35,1.56,ML,1692474265
191,lihue,21.9789,-159.3672,300.92,73,75,7.2,US,1692474265
192,greymouth,-42.4667,171.2,281.98,93,69,2.14,NZ,1692474265
193,kichmengskiy gorodok,59.9816,45.7854,284.18,69,100,0.71,RU,1692474265
194,irece,-11.3042,-41.8558,303.1,28,26,1.47,BR,1692474266
195,cajati,-24.7361,-48.1228,294.69,74,89,0.84,BR,1692474001
196,novo aripuana,-5.1206,-60.3797,313.67,17,60,1.47,BR,1692474266
197,manoc-manoc,11.9416,121.9428,300.55,81,100,3.57,PH,1692474266
198,binghamton,42.0987,-75.918,298.71,49,0,5.14,US,1692474011
199,shalqar,47.8333,59.6,300.04,23,5,0.74,KZ,1692474267
200,muroto-misakicho,33.2833,134.15,300.6,82,14,2.41,JP,1692474267
201,san antonio de pale,-1.4014,5.6325,296.37,81,71,3.83,GQ,1692474267
202,utrik,11.2278,169.8474,301.41,77,27,6.98,MH,1692474268
203,egilsstadir,65.2653,-14.3948,283.1,87,75,6.69,IS,1692474268
204,chonchi,-42.6128,-73.8092,282.1,99,100,1.69,CL,1692474268
205,bereznik,62.8551,42.7072,283.7,75,100,1.98,RU,1692474269
206,buka,40.8108,69.1986,296.53,21,0,1.32,UZ,1692474269
207,nova sintra,14.8667,-24.7167,297.24,83,100,6.73,CV,1692474269
208,el colorado,-26.3081,-59.3729,296.97,44,0,2.58,AR,1692474269
209,tazovsky,67.4667,78.7,282.42,69,19,3.99,RU,1692474269
210,flying fish cove,-10.4217,105.6791,296.97,88,100,3.6,CX,1692474270
211,belmonte,-15.8631,-38.8828,297.65,74,0,5.05,BR,1692474270
212,fort mcmurray,56.7268,-111.381,287.92,62,100,7.2,CA,1692474153
213,ghadamis,30.1337,9.5007,306.41,15,0,2.37,LY,1692474270
214,jean-rabel,19.8533,-73.1917,304.33,67,37,6.52,HT,1692474271
215,acarau,-2.8856,-40.12,300.85,72,11,8.11,BR,1692474271
216,kidal,18.4411,1.4078,309.12,27,94,6.95,ML,1692474271
217,kenai,60.5544,-151.2583,289.2,68,75,5.14,US,1692474271
218,bokhan,53.153,103.7714,282.45,88,100,1.57,RU,1692474271
219,bredasdorp,-34.5322,20.0403,283.34,92,0,3.06,ZA,1692474154
220,yeniseysk,58.4497,92.1703,281.41,91,94,0.46,RU,1692474271
221,cartagena del chaira,1.3349,-74.8429,302.86,68,94,0.34,CO,1692474272
222,pasuquin,18.3328,120.6177,299.12,94,20,1.54,PH,1692474272
223,newport,51.5877,-2.9984,292.42,83,87,4.43,GB,1692474272
224,outjo,-20.1167,16.15,291.95,19,2,3.44,NA,1692474272
225,brokopondo,4.75,-55.1667,306.03,51,22,0.8,SR,1692474273
226,baoro,5.6667,15.9667,293.83,98,100,1.24,CF,1692474273
227,ilulissat,69.2167,-51.1,287.16,44,75,9.77,GL,1692474274
228,gadzhiyevo,69.2551,33.3362,281.44,78,100,7.66,RU,1692474274
229,ebon,4.582,168.6964,301.41,72,94,2.31,MH,1692474274
230,mont-dore,-22.2833,166.5833,293.15,99,70,6.31,NC,1692474275
231,margate,51.3813,1.3862,291.98,73,93,3.13,GB,1692474146
232,udachny,66.4167,112.4,280.07,86,62,3.87,RU,1692474275
233,boa vista,2.8197,-60.6733,304.14,62,40,5.66,BR,1692474275
234,hasaki,35.7333,140.8333,299.99,86,4,1.21,JP,1692474275
235,fenyi,27.8112,114.6681,297.99,90,74,0.74,CN,1692474276
236,mangrol,21.1167,70.1167,299.25,84,100,6.67,IN,1692474276
237,broken hill,-31.95,141.4333,282.49,94,0,2.74,AU,1692474277
238,idah,7.1065,6.7342,296.64,97,100,1.23,NG,1692474277
239,flin flon,54.7682,-101.865,290.06,63,75,4.63,CA,1692474227
240,altai,46.3722,96.2583,282.62,39,38,1.87,MN,1692474277
241,lodja,-3.4833,23.4333,297.29,78,100,1.53,CD,1692474277
242,mount isa,-20.7333,139.5,283.02,50,0,2.57,AU,1692474278
243,forster,-32.1667,152.5167,284.04,76,0,3.68,AU,1692474278
244,tashtagol,52.7657,87.8894,284.34,98,100,1.57,RU,1692474278
245,lazaro cardenas,17.9583,-102.2,304.97,59,89,7.16,MX,1692474278
246,east london,-33.0153,27.9116,289.76,77,14,3.1,ZA,1692474279
247,grantsville,40.5999,-112.4644,300.99,40,100,6.69,US,1692474279
248,korostyshiv,50.3172,29.0563,295.52,51,1,1.49,UA,1692474279
249,gaigeturi,33.4644,126.3183,299.18,83,0,1.03,KR,1692474279
250,acatlan de osorio,18.2,-98.05,305.21,29,74,3.57,MX,1692474018
251,ad-damazin,11.7891,34.3592,299.19,80,72,2.39,SD,1692474279
252,tsiombe,-25.3,45.4833,290.04,91,81,0.86,MG,1692474280
253,tutoia,-2.7619,-42.2744,300.55,78,71,7.32,BR,1692474280
254,ciudad guayana,8.3533,-62.6528,304.0,77,100,0.95,VE,1692474280
255,korla,41.7597,86.1469,299.3,27,0,5.86,CN,1692474280
256,urangan,-25.3,152.9,285.57,49,0,2.08,AU,1692474281
257,boguchany,58.3814,97.4531,284.24,91,100,2.44,RU,1692474281
258,coquimbo,-29.9533,-71.3436,295.0,46,0,6.17,CL,1692474251
259,kribi,2.95,9.9167,298.03,89,100,2.64,CM,1692474281
260,puerto aysen,-45.4,-72.7,278.22,90,97,1.29,CL,1692474281
261,prince george,53.9166,-122.753,290.84,48,0,1.03,CA,1692474253
262,bandirma,40.3522,27.9767,299.3,78,40,13.38,TR,1692474281
263,oodweyne,9.4092,45.064,300.73,38,69,8.04,SO,1692474281
264,kuching,1.55,110.3333,301.49,93,20,1.54,MY,1692474282
265,shache,38.4167,77.2406,301.26,22,98,2.04,CN,1692474282
266,chota,-6.55,-78.65,295.65,34,18,3.47,PE,1692474282
267,erdenet,49.0333,104.0833,281.88,87,100,1.54,MN,1692474282
268,bu'aale,1.0833,42.5833,297.14,77,13,5.73,SO,1692474283
269,lishui,28.4604,119.9103,296.29,98,96,1.31,CN,1692474283
270,petrovsk-zabaykal'skiy,51.273,108.843,279.9,94,7,1.76,RU,1692474283
271,nyala,12.05,24.8833,298.86,74,100,6.46,SD,1692474283
272,rio grande,-32.035,-52.0986,292.21,57,13,6.63,BR,1692474149
273,mukalla,14.5425,49.1242,302.82,72,98,3.69,YE,1692474283
274,city of balikpapan,-1.242,116.8942,299.12,89,40,3.09,ID,1692474283
275,paraiso,9.8383,-83.8656,298.1,95,100,1.75,CR,1692474283
276,arvayheer,46.2639,102.775,282.42,71,34,3.82,MN,1692474284
277,suntar,62.1444,117.6319,286.98,96,100,3.31,RU,1692474284
278,natal,-5.795,-35.2094,300.51,78,75,5.14,BR,1692474131
279,mar del plata,-38.0023,-57.5575,283.76,74,100,12.07,AR,1692474284
280,lisala,2.15,21.5167,295.66,92,61,0.55,CD,1692474284
281,sant julia de loria,42.4625,1.4825,296.67,79,24,2.35,AD,1692474284
282,tofol,5.3248,163.0078,301.58,75,41,3.79,FM,1692474284
283,macapa,0.0389,-51.0664,306.14,58,40,7.2,BR,1692474285
284,aqadyr,48.2553,72.8483,294.54,35,0,1.57,KZ,1692474285
285,xo'jaobod,40.666,72.5682,295.58,22,0,2.84,UZ,1692474285
286,dudinka,69.4058,86.1778,289.05,85,99,3.75,RU,1692474285
287,phan rang-thap cham,11.5667,108.9833,298.3,90,100,2.38,VN,1692474285
288,iskateley,67.6803,53.1512,279.76,86,89,6.63,RU,1692474286
289,dubrovnik,42.6481,18.0922,301.95,36,0,9.77,HR,1692474109
290,lensk,60.7253,114.9278,287.89,99,100,1.11,RU,1692474286
291,al bardiyah,31.7561,25.0865,299.17,80,0,4.64,LY,1692474286
292,pasir mas,6.0493,102.1399,299.09,94,96,1.22,MY,1692474286
293,murghob,38.1702,73.9667,287.37,43,43,1.45,TJ,1692474287
294,amarante do maranhao,-5.5667,-46.7422,308.18,25,88,2.24,BR,1692474287
295,oliver,49.1831,-119.5524,296.95,25,15,3.6,CA,1692474287
296,yilan,24.757,121.753,300.07,93,92,1.33,TW,1692474118
297,port elizabeth,-33.918,25.5701,289.31,82,0,3.6,ZA,1692474287
298,tamarin,-20.3256,57.3706,294.0,79,1,2.3,MU,1692474287
299,rio preto da eva,-2.6994,-59.6997,308.93,32,100,1.03,BR,1692474287
300,nabire,-3.3667,135.4833,296.62,96,100,1.9,ID,1692474287
301,midsayap,7.1167,124.5,296.25,94,100,0.63,PH,1692474287
302,necochea,-38.5473,-58.7368,281.5,72,100,15.14,AR,1692474288
303,bwizibwera,-0.5917,30.6286,294.54,57,78,0.9,UG,1692474288
304,khorixas,-20.3667,14.9667,292.06,18,5,2.49,NA,1692474288
305,na wa,17.4897,104.1006,298.95,89,100,1.88,TH,1692474288
306,barcelos,41.5388,-8.6151,296.4,95,97,1.69,PT,1692474166
307,tralee,52.2704,-9.7026,287.79,92,76,3.27,IE,1692474288
308,kapa'a,22.0752,-159.319,301.33,79,75,7.2,US,1692474288
309,jutai,-5.1833,-68.9,304.23,61,92,1.75,BR,1692474288
310,yaren,-0.5472,166.916,301.15,76,100,2.7,NR,1692474289
311,fada,9.5667,8.3,293.95,92,91,1.14,NG,1692474289
312,codrington,-38.2667,141.9667,284.62,85,100,3.29,AU,1692474289
313,anadyr,64.75,177.4833,279.43,80,0,5.81,RU,1692474289
314,san fernando de apure,7.8878,-67.4724,303.85,71,99,1.27,VE,1692474289
315,fortuna,40.5982,-124.1573,291.29,82,20,5.66,US,1692474085
316,bhinmal,25.0,72.25,302.13,66,88,6.71,IN,1692474289
317,brandon,27.9378,-82.2859,308.85,65,0,2.24,US,1692474070
318,vorkuta,67.5,64.0,278.57,84,54,1.76,RU,1692474290
319,aykhal,66.0,111.5,279.23,73,53,4.1,RU,1692474290
320,impfondo,1.6381,18.0667,296.21,85,58,0.89,CG,1692474290
321,elkins,38.9259,-79.8467,299.22,52,0,2.06,US,1692474290
322,revelstoke,50.9832,-118.2023,293.16,40,0,0.0,CA,1692474290
323,saldanha,-33.0117,17.9442,285.18,90,0,2.33,ZA,1692474129
324,bubaque,11.2833,-15.8333,300.17,82,100,4.82,GW,1692474290
325,vanino,49.0869,140.2543,292.34,79,1,3.64,RU,1692474152
326,kingston,17.997,-76.7936,307.68,66,40,10.29,JM,1692474203
327,gornyak,50.9942,81.4661,289.5,59,28,3.48,RU,1692474291
328,marsh harbour,26.5412,-77.0636,303.0,73,32,7.37,BS,1692474291
329,ulsteinvik,62.3432,5.8487,295.36,81,100,4.24,NO,1692474291
330,lemvig,56.5486,8.3102,293.26,95,100,6.58,DK,1692474291
331,bafq,31.6128,55.4107,301.93,12,0,1.14,IR,1692474292
332,mutare,-18.9707,32.6709,289.03,58,0,2.06,ZW,1692474059
333,bezenchuk,52.982,49.4333,293.88,58,18,3.15,RU,1692474292
334,kingscliff,-28.2667,153.5667,282.46,87,0,1.03,AU,1692474292
335,ancud,-41.8697,-73.8203,281.03,98,100,3.01,CL,1692474292
336,klyuchi,52.2667,79.1667,291.97,53,4,4.39,RU,1692474292
337,carnarvon,-24.8667,113.6333,291.05,49,0,5.13,AU,1692474292
338,sinazongwe,-17.2614,27.4618,295.16,45,3,1.23,ZM,1692474293
339,okondja,-0.6549,13.6753,297.18,80,100,1.14,GA,1692474293
340,papao,-17.75,-149.55,299.97,70,5,6.59,PF,1692474294
341,laojunmiao,39.8333,97.7333,290.24,27,0,0.62,CN,1692474294
342,zaysan,47.4667,84.8667,289.77,50,0,3.14,KZ,1692474294
343,ketchikan,55.3422,-131.6461,290.41,72,20,5.14,US,1692474295
344,izazi,-7.2,35.7333,296.09,43,51,2.41,TZ,1692474295
345,kimbe,-5.5502,150.1429,296.98,85,99,3.49,PG,1692474295
346,kwang binh,17.4833,106.6,301.09,79,100,1.25,VN,1692474296
347,pandan,14.0453,124.1694,299.26,84,33,1.9,PH,1692474296
348,taulaga,-11.0553,-171.0883,301.2,78,30,9.08,AS,1692474297
349,berbesti,44.9833,23.8833,296.0,48,95,2.57,RO,1692474297
350,bismarck,46.8083,-100.7837,298.06,44,0,8.75,US,1692474123
351,machico,32.7,-16.7667,298.5,78,20,7.2,PT,1692474297
352,uturoa,-16.7333,-151.4333,298.52,74,10,5.7,PF,1692474298
353,fale old settlement,-9.3852,-171.2468,301.69,73,38,8.29,TK,1692474298
354,kupang,-10.1667,123.5833,296.38,76,44,4.99,ID,1692474298
355,mount gambier,-37.8333,140.7667,284.31,93,100,2.04,AU,1692474298
356,pesca,5.55,-73.05,289.68,79,99,2.33,CO,1692474299
357,geraldton,-28.7667,114.6,278.38,93,3,2.06,AU,1692474299
358,salinopolis,-0.6136,-47.3561,301.37,73,100,6.41,BR,1692474299
359,luanda,-8.8368,13.2343,294.15,88,20,4.12,AO,1692474145
360,siwa oasis,29.2041,25.5195,306.24,25,32,2.8,EG,1692474300
361,clarion,41.2148,-79.3853,297.52,57,0,3.37,US,1692474300
362,mbaiki,3.8678,17.9892,295.17,95,100,0.37,CF,1692474301
363,smithers,54.7804,-127.1743,290.33,51,40,1.54,CA,1692474269
364,saint-francois,46.4154,3.9054,299.84,65,0,1.03,FR,1692474302
365,kendari,-3.945,122.4989,295.09,87,14,0.36,ID,1692474303
366,karratha,-20.7377,116.8463,294.88,38,0,4.32,AU,1692474304
367,san jose del guaviare,2.5729,-72.6459,304.96,58,83,0.75,CO,1692474305
368,along,28.1667,94.7667,297.35,99,100,0.16,IN,1692474305
369,tommot,58.9564,126.2925,283.49,91,93,1.56,RU,1692474306
370,al qadarif,14.0349,35.3834,301.14,69,100,3.63,SD,1692474306
371,la ronge,55.1001,-105.2842,289.27,59,75,6.69,CA,1692474307
372,san patricio,28.017,-97.5169,311.55,39,3,6.12,US,1692474308
373,vila franca do campo,37.7167,-25.4333,297.38,70,56,1.07,PT,1692474308
374,minab,27.1467,57.0801,305.46,62,45,1.15,IR,1692474309
375,zakamensk,50.3741,103.2863,280.72,92,84,0.42,RU,1692474309
